EGFR,FGF2,FOXO4,IL6,CDKN2A,SLC25A37,MYC,STEAP1,CP
2.063132,1.3386253,1.3981489,0.3255381,1.2239015,0.57540035,-0.059638247,0.8701852,-0.06676986
2.5604877,1.5207686,0.8950285,0.2666898,0.69084805,0.7605703,0.47120032,-0.67406464,-0.050088488
2.2804494,0.071342565,1.993619,0.20196505,2.1923597,0.21364295,-0.19968991,-0.44804716,-0.073296346
1.9588172,1.2739841,1.3569169,0.3236087,1.3233261,0.3842002,0.657755,0.819475,-0.0730199
2.5865223,1.7625308,0.8182767,0.2921912,-0.7635804,0.8129334,1.0697722,-0.4909593,-0.21051148
2.1297534,1.3818619,1.4680939,0.28946328,1.3078498,0.5496489,0.62418413,-0.47740376,-0.050088488
2.3129551,0.22653374,2.0022051,0.93083215,1.7059232,0.54273874,0.61763895,-0.48426986,-0.073296346
1.9800129,1.2739841,1.3794155,0.33857456,1.4340433,0.13576972,0.6567795,0.8259389,-0.06676986
3.1086762,-1.2916206,0.9368903,0.5004776,-0.71330035,0.6630022,1.192605,-0.49866748,-0.19722298
0.5455128,-0.17457858,-2.7446883,0.53079104,0.6351814,0.3798681,1.1897202,1.8244158,-0.26567984
2.0284643,1.2845737,0.8333192,0.35326484,1.3668356,0.54141825,0.73568714,0.9352606,-0.06676986
2.361771,0.064238615,1.6089481,-0.07685915,-0.76318043,0.8382647,0.96265674,1.0366899,-0.23464489
1.6081401,1.4050395,1.6962571,0.3446296,2.0104773,-0.7875834,-0.3280055,-0.23579414,-0.089139536
2.1874726,-0.49835286,-3.009001,-1.2309637,0.46978286,-1.0376273,-1.0471268,-0.8009268,-0.2510258
2.541877,1.480022,0.9140748,0.29224056,0.7267166,0.65643597,0.8973383,-0.48371172,-0.050088488
2.4195197,1.7197938,1.4780838,0.29475868,-0.81387085,0.73331577,0.8622862,-0.44644684,-0.22577941
-5.252952,-1.6379905,-2.8030953,0.25604302,0.47972426,1.0676695,0.14458475,-0.9109027,-0.2019662
2.6924107,-0.13672495,1.9162855,0.1980245,-0.9161027,0.66855365,1.0334147,-0.40406883,-0.29476762
2.114525,1.3818619,1.5591722,0.28946328,1.3802838,0.38184687,0.63655066,-0.47531223,-0.09293998
-1.6621395,0.27386186,3.0119963,0.3744547,0.8014447,0.62069905,0.94147146,1.542445,0.19730501
2.01721,1.3141588,1.5016708,0.3201934,1.3240883,0.5694766,-0.14153036,0.83627576,-0.0730199
-2.772412,-1.7469436,1.1602131,-1.1556648,-1.5330914,0.47750488,-1.3952242,1.6883508,-0.44251877
2.336468,1.4928893,0.8514904,0.36143902,-0.72964454,0.49747437,1.1695448,1.0276257,0.31953442
1.7532247,1.2909273,1.534143,0.6134525,1.4878141,0.63008904,-0.06399605,0.850305,-0.07568645
2.1041286,1.3352283,0.92862344,0.32921976,0.53409046,0.72776246,0.9317491,0.9822406,0.16332017
2.4759274,1.5598971,-1.7201349,0.482748,1.2334955,0.54384774,-0.4469744,0.9476255,0.0687924
2.4096503,0.27538627,1.5219097,0.69252074,1.4950182,0.64549637,0.7618123,-0.63558054,0.16667865
1.8807093,1.4673284,-2.0681984,0.540563,1.9089583,-0.0074931122,-0.3580426,0.93563795,0.059875812
2.1739094,1.3532685,0.85832334,0.888198,1.2269589,0.4252316,0.64756846,1.0263126,-0.09270007
1.8729478,1.8038919,1.6506455,-0.91708124,-0.7657749,0.799887,0.92537594,-0.5394045,-0.34877867
-4.532338,-0.56571406,-3.1525974,0.013487633,-1.0674005,-0.21502447,0.90503,1.6373583,0.13919148
2.4314299,1.5042326,1.0146701,0.29507434,0.5183198,0.7696361,0.8459834,-0.4831226,0.16048865
2.439499,2.0219004,-1.6967247,0.48479375,0.62591136,0.58070284,0.9603393,-0.55744016,0.07655719
2.0130227,1.2628509,1.408026,0.35112366,1.1512781,0.54138345,0.62262344,0.8432519,-0.29819834
2.2304506,1.4678756,1.394526,0.3310128,-0.65440154,0.7172387,0.84636986,0.87002176,-0.34233028
2.0289495,1.2963616,1.3702003,0.32895344,1.0666113,0.55402374,0.66013205,0.84076303,-0.0730199
-1.276864,-1.1567818,-0.40454924,0.7229483,-1.1416146,-0.59195447,1.6187797,2.303515,-0.4007029
1.6921257,0.1629008,2.127818,0.055490453,1.9208984,-0.8917573,0.43712184,-0.4291203,0.1842897
-2.2994447,1.8623369,2.2027829,0.8574278,1.6221364,-0.49837545,0.6025553,1.0687746,0.19886139
-5.286271,-1.6387956,-2.302422,0.7562439,-1.259081,-0.41614684,-0.539273,-0.8205361,0.2254911
-2.5319517,1.9884892,2.3255494,0.25134316,1.5087928,0.4995934,0.5810592,-0.21945399,-0.050879393
2.2748601,0.4371616,0.9086631,0.3497065,-0.5372292,0.7425262,1.1653033,1.1763617,-0.22184426
2.0302057,0.2318002,1.0164926,0.037685055,2.1208587,-0.8909784,0.5060648,-0.59406793,0.18169811
2.2689438,1.5252485,0.96568716,0.2256354,1.4437096,0.5788438,-0.20251785,-0.39936638,0.16048865
-1.2417926,1.6934443,1.3497236,1.1042274,2.5739827,-0.5561249,-0.40745407,1.1777304,0.19562674
2.858504,0.6473783,0.7013544,-0.7113633,1.0748818,0.98091674,-0.013370536,-0.5229344,0.041353084
2.8610678,0.019514054,1.6500739,0.7043595,-0.9161431,0.82134485,0.98665094,0.7560732,-0.29735923
2.0540318,1.3032039,1.3770424,0.32895344,0.7199498,0.68501806,0.7622694,0.85802776,-0.0730199
2.2714276,1.4209932,0.56192124,0.32297063,1.3353053,0.6292214,0.023462422,0.99136454,-0.06676986
-4.0289736,-2.3410127,2.8438392,-0.8785733,-1.3347727,-0.504366,-0.4514941,-0.64266604,0.32837367
2.7873352,1.8065848,0.48103434,0.26664048,-0.83857185,0.8129334,1.0697722,-0.5429285,-0.21051148
2.9588761,-1.2895281,1.6674652,0.49049094,-0.830224,0.7076613,1.0268987,-0.57568055,-0.21904153
2.5035534,0.041504093,1.7147396,0.9828582,-0.61429185,0.780526,1.045541,0.11941977,-0.22043085
2.5190258,0.18936938,2.1661623,0.9361769,1.2513252,0.6163923,0.7255864,-0.54948115,-0.073296346
2.239413,1.4541497,1.4823813,0.29139268,1.2578919,0.5914774,-0.10038998,-0.34731597,-0.050088488
2.5999637,1.6091149,0.836324,0.2320572,0.7776165,0.4246749,-0.9096299,-0.35028857,-0.050088488
-2.569235,1.9300877,2.2613153,0.23553406,1.1815847,0.3110623,0.6531534,1.185488,0.191115
2.402182,1.5881371,0.90361494,0.22621696,1.2094116,0.579396,0.67204463,-0.43065566,-0.30209076
2.4899814,0.48935768,0.34922925,0.38711354,0.93937016,0.7103055,1.0005254,1.2397331,0.038753442
2.381076,1.578184,0.6857143,0.3434812,-0.5520926,0.827297,-0.51230407,0.8564883,-0.21390435
2.4681423,1.6010194,0.90932286,0.8508326,1.3536683,0.15301576,0.41956535,-0.39812124,-0.036260422
0.8137679,1.4090842,1.6656942,0.3994453,1.7360406,0.14064503,0.68041587,0.8851152,-0.1154223
2.130875,1.4272594,1.0097021,-0.7675261,1.3819573,0.6825267,0.76697516,-0.50084597,-0.04579907
2.0766857,1.3032039,1.3430177,0.32895344,0.98646164,0.56202334,0.6868179,0.8785115,-0.09270007
2.0563061,1.3191653,0.8585094,0.91288495,1.193836,0.60171515,0.8144102,0.9313225,-0.06676986
1.820485,1.3420113,0.84677064,0.142974,1.5968597,-0.8510653,0.5936439,0.8687369,-0.10756659
2.5965955,1.5938416,0.867262,0.22685306,0.7040552,0.62062895,0.85087574,-0.44165182,-0.050088488
2.4753585,1.4559276,0.92389685,0.22621696,1.2979219,0.37358555,0.7236507,-0.36304516,-0.19253764
-1.0291477,1.8655705,2.300107,1.0398757,0.9363445,0.4444894,0.6741984,-0.42373127,0.1729833
2.259184,1.4999002,0.85999984,0.3339241,-0.5887476,0.7599831,1.1118718,0.987822,0.31428146
-3.0595956,-1.1992738,2.5381496,0.86955446,1.8799478,-0.39231244,0.57159483,1.5174123,0.19562674
2.0627775,1.3211938,1.4979606,0.35770676,0.7656246,0.551484,0.69747007,0.7361842,0.16438107
1.985228,1.2956077,1.4670557,0.32644254,0.9607381,0.54318434,0.56628,0.84586483,0.16438107
2.1044736,1.326197,1.4183847,0.3439193,1.3753059,0.18976912,0.33362815,0.87269336,-0.0730199
-0.4301507,-0.07319551,1.0901117,1.0197349,-0.23162039,0.08658999,-0.32434326,1.7545712,0.41729677
