"hgnc_symbol","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","Regulation"
"CYP51A1","ENSG00000001630",118.851876260554,0.704437995705155,0.109013399113417,6.0853404558983e-11,1.48617281013944e-10,"Not significant"
"KRIT1","ENSG00000001631",382.869839948606,0.044053008088016,0.0458048968093132,0.33890090221992,0.376310170743346,"Not significant"
"RAD52","ENSG00000002016",556.343837046889,-0.182359050659326,0.0568708327839751,0.0012992961712681,0.00192112057368716,"Not significant"
NA,"ENSG00000002079",15.9234976690188,1.14915947529684,0.150018659034105,4.87712645223133e-12,1.2709026094587e-11,"Up regulated"
"BAD","ENSG00000002330",524.73228071025,0.595336413371642,0.087875684245157,9.19307427343787e-12,2.35564077911585e-11,"Not significant"
"LAP3","ENSG00000002549",7513.45432208331,0.299414877105448,0.0626058593269125,2.40721922643166e-06,4.40671527483644e-06,"Not significant"
"CD99","ENSG00000002586",10859.4262243369,0.0154855592527628,0.0825066254868308,0.90112759389677,0.913005681123447,"Not significant"
"HS3ST1","ENSG00000002587",307.496999064812,-0.398114825175166,0.0888059814046139,6.07114438621687e-06,1.0805181652778e-05,"Not significant"
"AOC1","ENSG00000002726",139.149717917855,3.50999530862417,0.210606904245531,2.64242621360489e-41,2.40533495877221e-40,"Up regulated"
"WNT16","ENSG00000002745",7.29737229972026,0.606674900259563,0.175698380648813,0.0409294986577576,0.0518342468463771,"Not significant"
"HECW1","ENSG00000002746",41.8801746348311,-0.423650448986895,0.139783990125551,0.00212427399445782,0.00307720063029547,"Not significant"
"MAD1L1","ENSG00000002822",24.2505405182276,0.703383570247962,0.120876630530044,3.85877360483346e-09,8.49027510961667e-09,"Not significant"
"LASP1","ENSG00000002834",20167.8786638445,0.705912865432703,0.0888984882877796,3.35914160173219e-15,1.03328397622021e-14,"Not significant"
"SNX11","ENSG00000002919",1755.88927550098,0.127841552706794,0.0574239949495578,0.0260188018616786,0.0337138860554866,"Not significant"
"TMEM176A","ENSG00000002933",2552.31056574411,0.187146102780012,0.122773818306319,0.126663584880229,0.150478503830344,"Not significant"
"M6PR","ENSG00000003056",4010.27673918954,0.144247974260527,0.0579951206584567,0.0131152612346306,0.0175942835124396,"Not significant"
"KLHL13","ENSG00000003096",734.321836799936,-2.56678275314444,0.152767420577015,6.83176203715072e-64,1.26088466863628e-62,"Down regulated"
"CYP26B1","ENSG00000003137",457.168147547843,-2.10126081106991,0.138160540164307,9.62491082796683e-53,1.29658463700044e-51,"Down regulated"
"ICA1","ENSG00000003147",2930.06486860771,0.734544074609148,0.0707931437420966,1.9263971332927e-25,9.49537206364984e-25,"Not significant"
"DBNDD1","ENSG00000003249",2523.34342486509,1.89793139076363,0.104518945972057,6.64373925928417e-74,1.69062786564881e-72,"Up regulated"
"ALS2","ENSG00000003393",1844.76686028329,-0.115377064120675,0.0441186288807773,0.00793691007641076,0.0108797906077587,"Not significant"
"CASP10","ENSG00000003400",709.398519856526,-0.818629311996532,0.0956886278673367,6.68324024262623e-18,2.32631593634515e-17,"Not significant"
"CFLAR","ENSG00000003402",5236.60228366773,-0.987597635504896,0.0574826316073877,1.59292635970792e-66,3.19735310941681e-65,"Not significant"
"TFPI","ENSG00000003436",1484.57129795161,-1.73655082531407,0.124201279111645,6.31104306987125e-45,6.54495236460378e-44,"Down regulated"
"NDUFAF7","ENSG00000003509",707.304999751336,0.0108970685206734,0.0387463946827726,0.801566394712845,0.822204888901228,"Not significant"
"RBM5","ENSG00000003756",3881.99436933305,-0.408184727434129,0.0513794423966907,1.34952850069305e-15,4.2446236414866e-15,"Not significant"
"MTMR7","ENSG00000003987",126.37807824758,0.379933040209527,0.120436360368403,0.00142297175087436,0.00209674919583618,"Not significant"
"SLC7A2","ENSG00000003989",14224.5777937621,1.21030806418877,0.200380369978571,4.82811609807032e-10,1.11969106493007e-09,"Up regulated"
"ARF5","ENSG00000004059",5576.23003540078,0.76166120174074,0.0616020687406453,3.04787252803567e-35,2.24754798667281e-34,"Not significant"
