"Gene","Median_Tumor","Median_Normal","LogFC","p_value","adj_p"
"RAB26",8.69812788248529,6.34510322443664,2.35302465804865,9.48446866429091e-48,1.11587677244157e-46
"MEG3",9.21550618742241,11.5278983306962,-2.31239214327379,1.37368092605343e-47,1.56817238390059e-46
"AKR1C3",9.21025046869399,11.8448259658508,-2.63457549715681,3.09364908756495e-47,3.46308485239066e-46
"HELLS",9.81441243760513,8.34710209820161,1.46731033940352,5.6300919581228e-47,6.24182310357268e-46
"DUSP1",12.5369432244322,14.8171690856037,-2.2802258611715,8.29464750667849e-47,9.10831292876219e-46
"COX7A1",8.03683834539883,10.391170811996,-2.35433246659717,9.74594331430255e-47,1.05869117133658e-45
"TRIB3",11.2060998207951,9.71760682515834,1.48849299563676,9.82480098291536e-47,1.05869117133658e-45
"RXRG",4.40338240782503,6.41757651764008,-2.01419410981505,1.10663280401637e-46,1.18143298428784e-45
"STMN1",13.0793966819116,11.6609887072915,1.4184079746201,1.16356351139495e-46,1.23081534737466e-45
"BCL6",11.5065708022241,12.7802448519025,-1.2736740496784,1.80374508030701e-46,1.89065279781271e-45
"ARRDC3",12.1574263844447,13.5874589539197,-1.430032569475,2.13514608994016e-46,2.21785895648739e-45
"PPP2R2B",5.72829976969295,7.62414957471542,-1.89584980502247,5.9515769024251e-46,6.1269358647287e-45
"EMP1",13.0634941048423,14.9085428536638,-1.8450487488215,1.02387788967628e-45,1.03555369017259e-44
"IRF7",10.9729771774894,9.27057450967586,1.70240266781354,1.51834490872236e-45,1.52230580848424e-44
"CPEB1",5.85604277407474,7.47862650536075,-1.62258373128601,2.26782282084768e-45,2.23487154909177e-44
"PPARA",9.58017542891981,11.0696359968336,-1.48946056791379,2.35961832296075e-45,2.30562705624894e-44
"TOR2A",9.87497404044597,8.77368599915518,1.10128804129079,2.59529263277537e-45,2.51459866015966e-44
"ANO6",12.4909193846668,13.5887341543454,-1.0978147696786,5.27151284337443e-45,5.06504525700893e-44
"NR5A2",7.56323865926952,9.18129758868392,-1.6180589294144,6.92271138211178e-45,6.59660018477263e-44
"CEMIP",9.3457824263132,7.12640028119167,2.21938214512153,7.20134751473121e-45,6.80586367580745e-44
"BAX",11.0904101267382,10.0550026421689,1.0354074845693,1.70561269009103e-44,1.5607709775198e-43
"PRKCA",8.58158251421742,10.2596382317919,-1.67805571757448,3.38804587500196e-44,3.07591881407658e-43
"MEF2C",10.3899484508244,11.6280772084317,-1.2381287576073,1.44586588835454e-43,1.29231268935875e-42
"FTMT",2.71762148018043,3.85698269034066,-1.13936121016023,2.29491152945396e-43,2.03540999496955e-42
"BACH2",7.97020635372323,9.56026673092499,-1.59006037720176,3.06844628618492e-43,2.70070119692459e-42
"EPHA2",9.60793262753893,10.9674323734494,-1.35949974591047,3.68042929986142e-43,3.21479922934865e-42
"TFR2",7.06581411238994,5.08553701264965,1.98027709974029,4.4651695114261e-43,3.8709326666724e-42
"CDC25A",8.49885469736753,6.79512750888041,1.70372718848712,4.67703782496446e-43,4.02434672551046e-42
"GAS1",10.4113428030592,11.8994438177165,-1.4881010146573,5.67290931255472e-43,4.84508476842637e-42
"PPARGC1A",6.16066318853338,8.4244311514125,-2.26376796287912,5.82821916308383e-43,4.94112992282033e-42
"MEG8",4.02647602746732,5.04025076213257,-1.01377473466525,6.1253487440255e-43,5.15512927143168e-42
"ZFP36",12.41405847169,14.7480847277119,-2.3340262560219,7.87284753677864e-43,6.57782116659839e-42
"CXCL10",10.3212417066778,7.4775944242508,2.843647282427,8.4055824416626e-43,6.97240039945106e-42
"HSD17B11",9.71567214459964,11.1231122180934,-1.40744007349376,2.24699468964706e-42,1.83743608309437e-41
